"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"9/21/2023","YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash)","YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash)","1999.45","debit","Investments","ROTH IRA","",""
"9/20/2023","NT S&P 500 INDEX","NT S&P 500 INDEX","986.43","credit","Investments","ZIMMER BIOMET HOLDINGS, INC. SAVINGS AND INVESTMENT 401(K) PROGRAM","",""
"9/20/2023","VANGUARD TARGET 2050","VANGUARD TARGET 2050","246.60","credit","Investments","ZIMMER BIOMET HOLDINGS, INC. SAVINGS AND INVESTMENT 401(K) PROGRAM","",""
"9/20/2023","Amazon","YOU BOUGHT AMAZON.COM INC (AMZN) (Cash)","687.20","debit","Investments","ROTH IRA","",""
"9/20/2023","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","1572.00","debit","Investments","ROTH IRA","",""
"9/20/2023","YOU BOUGHT ALPHABET INC CAP STK CL A (GOOGL) (Cash)","YOU BOUGHT ALPHABET INC CAP STK CL A (GOOGL) (Cash)","680.95","debit","Transfer","ROTH IRA","",""
"9/20/2023","Fidelity 500 Index Fund","Fidelity 500 Index Fund","372.00","credit","Deposit","Mphasis Corporation 401(k) Plan","",""
"9/20/2023","JP Morgan Large Cap Growth R6 Fund","JP Morgan Large Cap Growth R6 Fund","511.50","credit","Investments","Mphasis Corporation 401(k) Plan","",""
"9/20/2023","Columbia Dividend Income I3 Fund","Columbia Dividend Income I3 Fund","46.50","credit","Investments","Mphasis Corporation 401(k) Plan","",""
"9/19/2023","SPECTRUM XXX-XXX-7328 MO","SPECTRUM XXX-XXX-7328 MO","65.33","debit","Internet","Blue Cash Everyday®","",""
"9/19/2023","YOU BOUGHT NVIDIA CORPORATION COM (NVDA) (Cash)","YOU BOUGHT NVIDIA CORPORATION COM (NVDA) (Cash)","868.42","debit","Investments","Individual - TOD","",""
"9/19/2023","YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash)","YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash)","408.50","debit","Investments","Individual - TOD","",""
"9/19/2023","YOU BOUGHT MICROSOFT CORP (MSFT) (Cash)","YOU BOUGHT MICROSOFT CORP (MSFT) (Cash)","3263.17","debit","Investments","Individual - TOD","",""
"9/19/2023","YOU BOUGHT MICROSOFT CORP (MSFT) (Cash)","YOU BOUGHT MICROSOFT CORP (MSFT) (Cash)","327.40","debit","Investments","Individual - TOD","",""
"9/19/2023","YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash)","YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash)","1218.86","debit","Investments","Individual - TOD","",""
"9/19/2023","YOU BOUGHT ISHARES TR ISHARES SEMICDTR (SOXX) (Cash)","YOU BOUGHT ISHARES TR ISHARES SEMICDTR (SOXX) (Cash)","958.66","debit","Investments","Individual - TOD","",""
"9/19/2023","Amazon","AMZN Mktp US*TX6DB4Q92","8.65","debit","Home Improvement","CREDIT CARD","",""
"9/19/2023","Amazon","Amazon Prime*TXX631KV2","8.11","debit","Home Improvement","CREDIT CARD","",""
"9/19/2023","APPLE GS SAVINGS TRANSFER XXXXXXXXXXXX WEB ID: XXXXXX9999","APPLE GS SAVINGS TRANSFER XXXXXXXXXXXX WEB ID: XXXXXX9999","1300.00","debit","Transfer","TOTAL CHECKING","",""
"9/19/2023","GEORGETOWN LIBRARY GEORGETOWN TX 09/15","GEORGETOWN LIBRARY GEORGETOWN TX 09/15","16.99","debit","Books & Supplies","TOTAL CHECKING","",""
"9/19/2023","Daily Cash Adjustment","Daily Cash Adjustment","0.14","debit","Transfer","Apple Card","",""
"9/19/2023","GANDHI BAZAR","GANDHI BAZAR","6.99","credit","Income","Apple Card","",""
"9/19/2023","Gandhi Bazar","GANDHI BAZAR","52.32","debit","Groceries","Apple Card","",""
"9/19/2023","Gandhi Bazar","GANDHI BAZAR","30.45","debit","Groceries","Apple Card","",""
"9/19/2023","YOU BOUGHT ISHARES TR ISHARES SEMICDTR (SOXX) (Cash)","YOU BOUGHT ISHARES TR ISHARES SEMICDTR (SOXX) (Cash)","14310.00","debit","Investments","Individual - TOD","",""
"9/19/2023","YOU BOUGHT NVIDIA CORPORATION COM (NVDA) (Cash)","YOU BOUGHT NVIDIA CORPORATION COM (NVDA) (Cash)","4335.00","debit","Investments","Individual - TOD","",""
"9/19/2023","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","3920.00","debit","Investments","Individual - TOD","",""
"9/18/2023","Zelle payment to Sathya JPMX9a28mgp6","Zelle payment to Sathya JPMX9a28mgp6","445.00","debit","Travel","TOTAL CHECKING","",""
"9/18/2023","Amazon","AMZN Mktp US*TX8HB4G50","10.83","debit","Home Improvement","CREDIT CARD","",""
"9/18/2023","H-E-B #XXX XXXXX0000LEANDER TX","H-E-B #XXX XXXXX0000LEANDER TX","28.03","debit","Groceries","Blue Cash Everyday®","",""
"9/18/2023","YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash)","YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash)","408.75","debit","Investments","Individual - TOD","",""
"9/18/2023","YOU BOUGHT NVIDIA CORPORATION COM (NVDA) (Cash)","YOU BOUGHT NVIDIA CORPORATION COM (NVDA) (Cash)","4340.00","debit","Investments","Individual - TOD","",""
"9/18/2023","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","3945.00","debit","Investments","Individual - TOD","",""
"9/18/2023","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","1180.14","debit","Investments","Health Savings Account","",""
"9/18/2023","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","177.02","debit","Investments","Health Savings Account","",""
"9/17/2023","DIRECT PROPANE SERVIWEBBERVILLE TX","DIRECT PROPANE SERVIWEBBERVILLE TX","25.38","debit","Utilities","Blue Cash Everyday®","",""
"9/17/2023","LOWE'S OF LEANDER, TLEANDER TX","LOWE'S OF LEANDER, TLEANDER TX","10.57","debit","Home Improvement","Blue Cash Everyday®","",""
"9/17/2023","DUNKIN #XXXXX1 Q35 3CEDAR PARK TX","DUNKIN #XXXXX1 Q35 3CEDAR PARK TX","5.50","debit","Coffee Shops","Blue Cash Everyday®","",""
"9/17/2023","Amazon","AMZN Mktp US*TXXL561C2","19.47","debit","Entertainment","CREDIT CARD","","Beas set for gift "
"9/17/2023","ALDI 78001","ALDI 78001","30.41","debit","Groceries","Apple Card","",""
"9/16/2023","Monthly Interest Paid","Monthly Interest Paid","374.34","credit","Interest Income","CERTIFICATEOFDEPOSIT Account","",""
"9/16/2023","PAYPAL *ADIDASAMERI XXXXXX9407 OR","PAYPAL *ADIDASAMERI XXXXXX9407 OR","9.74","debit","Clothing","Blue Cash Everyday®","",""
"9/16/2023","PAYPAL *TEMU XXXXXX6118 MA","PAYPAL *TEMU XXXXXX6118 MA","13.94","debit","Home Improvement","Blue Cash Everyday®","",""
"9/16/2023","TST* DESI CHOWRASTHA -","TST* DESI CHOWRASTHA -","67.07","debit","Restaurants","Apple Card","",""
"9/16/2023","MIDAS AUTO SERVICE 291","MIDAS AUTO SERVICE 291","10.92","debit","Service & Parts","Apple Card","",""
"9/15/2023","Interest Payment","Interest Payment","10.06","credit","Interest Income","HYSA","",""
"9/15/2023","ZIMMER INC       DES:DIRECT DEP ID:XXXXX00488554J9           INDN:BALAKRISHNAN,SINDHU     CO ID:XXXXX11101 PPD","ZIMMER INC       DES:DIRECT DEP ID:XXXXX00488554J9           INDN:BALAKRISHNAN,SINDHU     CO ID:XXXXX11101 PPD","2000.00","credit","Paycheck","Adv Plus Banking - 1866","",""
"9/15/2023","BSWHEALTH 1111 DALLAS TX","BSWHEALTH 1111 DALLAS TX","202.94","debit","Doctor","Blue Cash Everyday®","",""
"9/15/2023","H-E-B GAS/CARWASH #7LEANDER TX","H-E-B GAS/CARWASH #7LEANDER TX","51.21","debit","Gas & Fuel","Blue Cash Everyday®","",""
"9/15/2023","ZIMMER INC DIRECT DEP","ZIMMER INC DIRECT DEP","126.28","credit","Paycheck","Easy Banking Club","",""
"9/15/2023","Amazon","AMZN Mktp US*TX1EQ3F52","24.67","debit","Toys","CREDIT CARD","","Toys"
"9/15/2023","MPHASIS DIRECT DEP PPD ID: XXXXXX1103","MPHASIS DIRECT DEP PPD ID: XXXXXX1103","2517.59","credit","Paycheck","TOTAL CHECKING","",""
"9/14/2023","Zelle payment to Thiru JPMX9a23x1ii","Zelle payment to Thiru JPMX9a23x1ii","1000.00","debit","Transfer","TOTAL CHECKING","",""
"9/14/2023","DIRECT DEPOSIT MPHASIS DIRECT DEP (Cash)","DIRECT DEPOSIT MPHASIS DIRECT DEP (Cash)","839.20","credit","Paycheck","Individual - TOD","",""
"9/14/2023","DIVIDEND RECEIVED MICROSOFT CORP (MSFT) (Cash)","DIVIDEND RECEIVED MICROSOFT CORP (MSFT) (Cash)","12.24","credit","Interest Income","Individual - TOD","",""
"9/14/2023","YOU SOLD TESLA INC COM (TSLA) (Cash)","YOU SOLD TESLA INC COM (TSLA) (Cash)","274.30","credit","Sell","Individual - TOD","",""
"9/14/2023","DIVIDEND RECEIVED MICROSOFT CORP (MSFT) (Cash)","DIVIDEND RECEIVED MICROSOFT CORP (MSFT) (Cash)","40.80","credit","Dividend & Cap Gains","Individual - TOD","",""
"9/13/2023","PAYPAL *TEMU XXXXXX6118 MA","PAYPAL *TEMU XXXXXX6118 MA","28.29","debit","Home Improvement","Blue Cash Everyday®","",""
"9/13/2023","YOU BOUGHT APPLE INC (AAPL) (Cash)","YOU BOUGHT APPLE INC (AAPL) (Cash)","174.00","debit","Investments","Individual - TOD","",""
"9/12/2023","APPLECARD GSBANK PAYMENT XXXXXXXXX WEB ID: XXXXXX9999","APPLECARD GSBANK PAYMENT XXXXXXXXX WEB ID: XXXXXX9999","539.08","debit","Credit Card Payment","TOTAL CHECKING","",""
"9/12/2023","YOU BOUGHT UNITED STATES TREAS BILLS ZERO CPN 0.00000% 10/26/2023 (Cash)","YOU BOUGHT UNITED STATES TREAS BILLS ZERO CPN 0.00000% 10/26/2023 (Cash)","1987.67","debit","Investments","ROTH IRA","",""
"9/11/2023","H-E-B CEDAR PARK TX","H-E-B CEDAR PARK TX","25.30","debit","Groceries","Blue Cash Everyday®","",""
"9/11/2023","MUNICIPAL ONLINE PAYMENTS","MUNICIPAL ONLINE PAYMENTS","1.25","debit","Water","CREDIT CARD","",""
"9/11/2023","Amazon","AMZN Mktp US*TR78N4HL2","204.49","debit","Furnishings","CREDIT CARD","","Swing chair"
"9/11/2023","ACH Deposit Internet transfer from account ending in 7208","ACH Deposit Internet transfer from account ending in 7208","539.08","credit","Transfer","Apple Card","",""
"9/11/2023","YOU BOUGHT APPLE INC (AAPL) (Cash)","YOU BOUGHT APPLE INC (AAPL) (Cash)","2662.20","debit","Investments","Individual - TOD","",""
"9/11/2023","DIVIDEND RECEIVED as of 09/10/2023 TARGET CORP (TGT) (Cash)","DIVIDEND RECEIVED as of 09/10/2023 TARGET CORP (TGT) (Cash)","55.00","credit","Dividend & Cap Gains","Individual - TOD","",""
"9/11/2023","YOU SOLD TESLA INC COM (TSLA) (Cash)","YOU SOLD TESLA INC COM (TSLA) (Cash)","2127.50","credit","Sell","Individual - TOD","",""
"9/11/2023","YOU SOLD SNOWFLAKE INC CL A (SNOW) (Cash)","YOU SOLD SNOWFLAKE INC CL A (SNOW) (Cash)","10173.51","credit","Sell","Individual - TOD","",""
"9/11/2023","YOU SOLD TESLA INC COM (TSLA) (Cash)","YOU SOLD TESLA INC COM (TSLA) (Cash)","8421.27","credit","Sell","ROTH IRA","",""
"9/10/2023","H-E-B GAS/CARWASH #5CEDAR PARK TX","H-E-B GAS/CARWASH #5CEDAR PARK TX","23.29","debit","Gas & Fuel","Blue Cash Everyday®","",""
"9/10/2023","CITY OF LEANDER UTILITY","CITY OF LEANDER UTILITY","256.78","debit","Water","CREDIT CARD","",""
"9/09/2023","Williamson Vehreg","WILLIAMSON VEHREG","73.25","debit","Auto & Transport","Apple Card","",""
"9/08/2023","H-E-B #XXX XXXXX0000LEANDER TX","H-E-B #XXX XXXXX0000LEANDER TX","29.07","debit","Groceries","Blue Cash Everyday®","",""
"9/08/2023","PAYPAL *TEMU XXXXXX6118 MA","PAYPAL *TEMU XXXXXX6118 MA","22.80","credit","Shopping","Blue Cash Everyday®","",""
"9/08/2023","H-E-B GAS/CARWASH #7LEANDER TX","H-E-B GAS/CARWASH #7LEANDER TX","62.91","debit","Gas & Fuel","Blue Cash Everyday®","",""
"9/08/2023","Amazon","Amazon.com*TL3ZO9QW1","18.01","debit","Clothing","CREDIT CARD","",""
"9/08/2023","OFFICIAL CHECKS CHARGE 12325","OFFICIAL CHECKS CHARGE","10.00","debit","Auto & Transport","TOTAL CHECKING","",""
"9/08/2023","Zelle payment to LoganathAn Plant XXXXXXX2092","Zelle payment to LoganathAn Plant XXXXXXX2092","5.00","debit","Home Improvement","TOTAL CHECKING","",""
"9/08/2023","PAYPAL INST XFER GROUPON INC WEB ID: PAYPALSI77","PAYPAL INST XFER GROUPON INC WEB ID: PAYPALSI77","41.64","debit","Auto & Transport","TOTAL CHECKING","",""
"9/08/2023","COSTCO WHSE #XXXX GEORGETOWN TX XXXXXX 09/08","COSTCO WHSE #XXXX GEORGETOWN TX XXXXXX 09/08","182.11","debit","Groceries","TOTAL CHECKING","",""
"9/08/2023","TX.GOV*SERVICEFEE-DIR","TX.GOV*SERVICEFEE-DIR","2.00","debit","Auto & Transport","Apple Card","",""
"9/08/2023","L  H ENTERPRISE","L  H ENTERPRISE","18.50","debit","Auto & Transport","Apple Card","","Car State Inspection"
"9/07/2023","MOBILE PAYMENT - THANK YOU","MOBILE PAYMENT - THANK YOU","401.73","credit","Credit Card Payment","Blue Cash Everyday®","",""
"9/07/2023","ATM Fee","WITHDRAWAL 09/07","4.00","debit","ATM Fee","TOTAL CHECKING","",""
"9/07/2023","WITHDRAWAL 09/07","WITHDRAWAL 09/07","140.00","debit","Auto & Transport","TOTAL CHECKING","","for speeding citation Defensive driving course"
"9/07/2023","WITHDRAWAL 09/07","WITHDRAWAL 09/07","200.00","debit","Transfer","TOTAL CHECKING","",""
"9/07/2023","AMERICAN EXPRESS ACH PMT MXXXX WEB ID: XXXXXX2111","AMERICAN EXPRESS ACH PMT MXXXX WEB ID: XXXXXX2111","401.73","debit","Credit Card Payment","TOTAL CHECKING","",""
"9/07/2023","brightwheel BRGHTWHL* ST-OXEXPXNXZXFX CCD ID: XXXXXX8598","brightwheel BRGHTWHL* ST-OXEXPXNXZXFX CCD ID: XXXXXX8598","975.60","debit","Babysitter & Daycare","TOTAL CHECKING","",""
"9/07/2023","Payment to Chase card ending in XXXX 09/07","Payment to Chase card ending in XXXX 09/07","709.84","debit","Credit Card Payment","TOTAL CHECKING","",""
"9/07/2023","Payment Thank You-Mobile","Payment Thank You-Mobile","709.84","credit","Credit Card Payment","CREDIT CARD","",""
"9/07/2023","TXDPS DRIVER RECORD","TXDPS DRIVER RECORD","12.00","debit","Auto & Transport","CREDIT CARD","",""
"9/07/2023","YOU SOLD SNOWFLAKE INC CL A (SNOW) (Cash)","YOU SOLD SNOWFLAKE INC CL A (SNOW) (Cash)","9569.92","credit","Sell","Individual - TOD","",""
"9/06/2023","YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash)","YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash)","2045.95","debit","Investments","Individual - TOD","",""
"9/06/2023","Zelle Transfer Conf# dyhfz738k;                             Govindarajan, Rajesh","Zelle Transfer Conf# dyhfz738k;                             Govindarajan, Rajesh","426.00","debit","Transfer","Adv Plus Banking - 1866","",""
"9/06/2023","ACROTEX GYMNASTICS - 5450","ACROTEX GYMNASTICS - 5450","96.00","debit","Kids Activities","CREDIT CARD","",""
"9/06/2023","FLAGSTAR LOAN PYMT XXXXXXXXXX WEB ID: XXXXXX4984","FLAGSTAR LOAN PYMT XXXXXXXXXX WEB ID: XXXXXX4984","1861.11","debit","Mortgage & Rent","TOTAL CHECKING","",""
"9/06/2023","Zelle payment from SINDHU BALAKRISHNAN BACdyhfz738k","Zelle payment from SINDHU BALAKRISHNAN BACdyhfz738k","426.00","credit","Transfer","TOTAL CHECKING","",""
"9/06/2023","YOU BOUGHT TESLA INC COM (TSLA) (Cash)","YOU BOUGHT TESLA INC COM (TSLA) (Cash)","247.82","debit","Transfer","ROTH IRA","",""
"9/06/2023","NT S&P 500 INDEX","NT S&P 500 INDEX","986.43","credit","Investments","ZIMMER BIOMET HOLDINGS, INC. SAVINGS AND INVESTMENT 401(K) PROGRAM","",""
"9/06/2023","VANGUARD TARGET 2050","VANGUARD TARGET 2050","246.60","credit","Investments","ZIMMER BIOMET HOLDINGS, INC. SAVINGS AND INVESTMENT 401(K) PROGRAM","",""
"9/05/2023","Zelle Transfer Conf# i1lud0zpc;                             Govindarajan, Rajesh","Zelle Transfer Conf# i1lud0zpc;                             Govindarajan, Rajesh","1185.00","debit","Transfer","Adv Plus Banking - 1866","",""
"9/05/2023","Zelle Transfer Conf# f36946xeh;                             Govindarajan, Rajesh","Zelle Transfer Conf# f36946xeh;                             Govindarajan, Rajesh","2000.00","debit","Transfer","Adv Plus Banking - 1866","",""
"9/05/2023","REDEMPTION PAYOUT UNITED STATES TREAS BILLS ZERO CPN 0.00000% 09/05/2023 (Cash)","REDEMPTION PAYOUT UNITED STATES TREAS BILLS ZERO CPN 0.00000% 09/05/2023 (Cash)","20000.00","credit","Investments","Individual - TOD","",""
"9/05/2023","YOU BOUGHT UNITED STATES TREAS BILLS ZERO CPN 0.00000% 10/19/2023 (Cash)","YOU BOUGHT UNITED STATES TREAS BILLS ZERO CPN 0.00000% 10/19/2023 (Cash)","14907.51","debit","Investments","Individual - TOD","",""
"9/05/2023","YOU BOUGHT UNITED STATES TREAS BILLS ZERO CPN 0.00000% 09/05/2024 (Cash)","YOU BOUGHT UNITED STATES TREAS BILLS ZERO CPN 0.00000% 09/05/2024 (Cash)","4741.16","debit","Investments","Individual - TOD","",""
"9/05/2023","Zelle payment from SINDHU BALAKRISHNAN BACfX6946xeh","Zelle payment from SINDHU BALAKRISHNAN BACfX6946xeh","2000.00","credit","Transfer","TOTAL CHECKING","",""
"9/05/2023","Zelle payment from SINDHU BALAKRISHNAN BACi1lud0zpc","Zelle payment from SINDHU BALAKRISHNAN BACi1lud0zpc","1185.00","credit","Transfer","TOTAL CHECKING","",""
"9/05/2023","Pedernales_Elec ELEC_BILL PPD ID: XXXXXX8412","Pedernales_Elec ELEC_BILL PPD ID: XXXXXX8412","146.95","debit","Electricity","TOTAL CHECKING","",""
"9/05/2023","TAQUERIA GUADALAJARA 5","TAQUERIA GUADALAJARA 5","23.00","debit","Restaurants","Apple Card","",""
"9/05/2023","YOU SOLD MICROSOFT CORP (MSFT) (Cash)","YOU SOLD MICROSOFT CORP (MSFT) (Cash)","20069.83","credit","Sell","Individual - TOD","",""
"9/05/2023","YOU SOLD NETFLIX INC (NFLX) (Cash)","YOU SOLD NETFLIX INC (NFLX) (Cash)","7238.66","credit","Sell","Individual - TOD","",""
"9/04/2023","SEXXXXX XXXXXXXX0574PORT ARNASAS TX","SEXXXXX XXXXXXXX0574PORT ARNASAS TX","49.45","debit","Gas & Fuel","Blue Cash Everyday®","",""
"9/04/2023","TEXAN 9 PORT ARANSAS TX","TEXAN 9 PORT ARANSAS TX","27.44","debit","Restaurants","Blue Cash Everyday®","",""
"9/04/2023","Amazon","AMZN Mktp US*TL2SS00M0","162.11","debit","Health & Fitness","CREDIT CARD","","Foot massager"
"9/03/2023","H-E-B #XXX XXXXX0000LEANDER TX","H-E-B #XXX XXXXX0000LEANDER TX","10.25","debit","Groceries","Blue Cash Everyday®","",""
"9/03/2023","H-E-B #XXX XXXXX0000LEANDER TX","H-E-B #XXX XXXXX0000LEANDER TX","10.00","debit","Snacks","Blue Cash Everyday®","",""
"9/03/2023","H-E-B #XXX XXXXX0000LEANDER TX","H-E-B #XXX XXXXX0000LEANDER TX","5.38","debit","Groceries","Blue Cash Everyday®","",""
"9/03/2023","LIBERTYHILLPEDIATRICLIBERTY HILL TX","LIBERTYHILLPEDIATRICLIBERTY HILL TX","87.19","debit","Doctor","Blue Cash Everyday®","",""
"9/03/2023","NITRO SWIMMING CP","NITRO SWIMMING CP","307.75","debit","Kids Activities","CREDIT CARD","",""
"9/03/2023","TST* DESI CHOWRASTHA -","TST* DESI CHOWRASTHA -","48.68","debit","Restaurants","Apple Card","",""
"9/02/2023","H-E-B #XXX XXXXX0000LEANDER TX","H-E-B #XXX XXXXX0000LEANDER TX","46.28","debit","Groceries","Blue Cash Everyday®","",""
"9/02/2023","AplPay ALDI XXX39 00GEORGETOWN TX","AplPay ALDI XXX39 00GEORGETOWN TX","9.31","debit","Snacks","Blue Cash Everyday®","",""
"9/02/2023","H-E-B GAS/CARWASH #7LEANDER TX","H-E-B GAS/CARWASH #7LEANDER TX","37.66","debit","Gas & Fuel","Blue Cash Everyday®","",""
"9/01/2023","Home cook","Home cook","35.00","debit","Entertainment","Cash","","Paneer curry 32 oz"
"9/01/2023","ZIMMER INC       DES:DIRECT DEP ID:XXXXX71834914J9           INDN:BALAKRISHNAN,SINDHU     CO ID:XXXXX11101 PPD","ZIMMER INC       DES:DIRECT DEP ID:XXXXX71834914J9           INDN:BALAKRISHNAN,SINDHU     CO ID:XXXXX11101 PPD","2000.00","credit","Paycheck","Adv Plus Banking - 1866","",""
"9/01/2023","ZIMMER INC DIRECT DEP","ZIMMER INC DIRECT DEP","126.29","credit","Paycheck","Easy Banking Club","",""
"8/31/2023","DIVIDEND","DIVIDEND","5.10","credit","Investments","Primary Savings 1","",""
"8/31/2023","DIRECT DEPOSIT MY529 ACCTVERIFY (Cash)","DIRECT DEPOSIT MY529 ACCTVERIFY (Cash)","0.08","credit","Transfer","Individual - TOD","",""
"8/31/2023","INTEREST EARNED FDIC INSURED DEPOSIT AT FULTON BANK ... (QHFDQ) (Cash)","INTEREST EARNED FDIC INSURED DEPOSIT AT FULTON BANK ... (QHFDQ) (Cash)","0.01","credit","Interest Income","Individual - TOD","",""
"8/31/2023","INTEREST EARNED FDIC INSURED DEPOSIT AT BNY MELLON N... (QBNYQ) (Cash)","INTEREST EARNED FDIC INSURED DEPOSIT AT BNY MELLON N... (QBNYQ) (Cash)","0.02","credit","Transfer","Individual - TOD","",""
"8/31/2023","INTEREST EARNED FDIC INSURED DEPOSIT AT DISCOVER BAN... (QHMBQ) (Cash)","INTEREST EARNED FDIC INSURED DEPOSIT AT DISCOVER BAN... (QHMBQ) (Cash)","27.43","credit","Interest Income","Individual - TOD","",""
"8/31/2023","DIRECT DEPOSIT MY529 ACCTVERIFY (Cash)","DIRECT DEPOSIT MY529 ACCTVERIFY (Cash)","0.07","credit","Transfer","Individual - TOD","",""
